date,Hour,Load_Station1,Load_Station2
1402/09/23,1,23.193052,11.729953
1402/09/24,1,33.698581,22.061983
1402/09/25,1,28.947343,17.293641
1402/09/26,1,28.868631,17.097633
1402/09/27,1,29.100968,17.266437
1402/09/28,1,29.074969,17.37728
1402/09/29,1,29.053281,17.448451
1402/09/30,1,28.92798,17.293826
1402/10/01,1,22.694943,11.28316
1402/10/02,1,23.10633,11.516162
1402/10/03,1,28.861438,17.777102
1402/10/04,1,23.708686,12.018328
1402/10/05,1,27.843082,16.252914
1402/10/06,1,32.040888,20.387185
1402/10/07,1,29.032672,17.149267
1402/10/08,1,34.538281,22.422731
1402/10/09,1,19.361915,7.180387
1402/10/10,1,27.939941,17.442078
1402/10/11,1,28.093695,15.262159
1402/10/12,1,30.85577,17.941151
1402/10/13,1,29.103498,17.505998
1402/10/14,1,30.019486,17.44942
1402/10/15,1,28.723694,16.077874
1402/10/16,1,25.510749,12.884478
1402/10/17,1,30.115996,17.262467
1402/10/18,1,30.565556,17.521424
1402/10/19,1,30.586488,17.385964
1402/10/20,1,30.334395,17.231616
1402/10/21,1,27.667157,14.65968
1402/10/22,1,24.333697,17.39377
1402/10/23,1,19.006469,14.888941
1402/10/24,1,20.970823,17.058561
1402/10/25,1,17.120537,12.934588
1402/10/26,1,20.929573,17.339871
1402/10/27,1,15.531598,11.971219
1402/10/28,1,10.403779,6.640579
1402/10/29,1,17.225046,17.217714
1402/10/30,1,16.994048,17.025816
1402/11/01,1,20.661951,17.490111
1402/11/02,1,20.451068,17.249904
1402/11/03,1,21.186025,17.508352
1402/11/04,1,26.579528,18.068342
1402/11/05,1,29.442473,17.588392
1402/11/06,1,29.010219,17.285651
1402/11/07,1,25.410557,12.720752
1402/11/08,1,30.084262,17.338254
1402/11/09,1,29.426746,17.286759
1402/11/10,1,30.266184,17.573937
1402/11/11,1,30.97178,17.700389
1402/11/12,1,29.776951,17.683394
1402/11/13,1,29.620995,17.669169
1402/11/14,1,24.737307,12.609539
1402/11/15,1,29.318823,17.51117
1402/11/16,1,29.16257,17.430671
1402/11/17,1,29.87523,17.835433
1402/11/18,1,30.069488,17.89529
1402/11/19,1,29.887959,17.53782
1402/11/20,1,29.078933,16.80699
1402/11/21,1,24.783735,12.445814
1402/11/22,1,28.327415,15.701146
1402/11/23,1,30.02542,17.521331
1402/11/24,1,30.197899,17.219745
1402/11/25,1,30.350279,17.408779
1402/11/26,1,30.299349,17.636424
1402/11/27,1,30.522153,17.565992
1402/11/28,1,30.465612,17.829568
1402/11/29,1,27.642989,14.002609
1402/11/30,1,30.761988,17.749623
1402/12/01,1,30.163371,17.549319
1402/12/02,1,30.759924,18.028578
1402/12/03,1,30.051713,17.012468
1402/12/04,1,30.266756,17.232399
1402/12/05,1,30.569539,17.342134
1402/12/06,1,24.771263,12.457778
1402/12/07,1,22.183569,17.391598
1402/12/08,1,22.245029,17.120724
1402/12/09,1,26.776174,21.546792
1402/12/10,1,22.51193,17.522024
1402/12/11,1,25.67152,21.551549
1402/12/12,1,17.678966,12.574208
1402/12/13,1,25.779654,12.540031
1402/12/14,1,21.224288,15.928929
1402/12/15,1,23.072376,17.236972
1402/12/16,1,27.87856,22.026051
1402/12/17,1,23.603373,17.176609
1402/12/18,1,34.043882,20.738282
1402/12/19,1,29.903353,16.746814
1402/12/20,1,26.312428,12.249299
1402/12/21,1,30.635595,16.545587
